순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
-43,2018643926,두전네트웍스 주식회사,김병현,분석,58972250,87.598,88.569,0.64239 (100.64239),9 11,2021/09/27 15:08:38,낙찰하한선 미달
-44,1288138083,(주)유앤후레쉬,우재명,분석,58971020,87.596,88.567,0.64028 (100.64028),2 8,2021/09/29 20:23:35,낙찰하한선 미달
-45,1328127945,부민통신 주식회사,박창욱,분석,58966412,87.589,88.56,0.63240 (100.6324),9 13,2021/09/24 08:52:01,낙찰하한선 미달
-46,2208727337,주식회사주니파워네트웍스,노병준,분석,58966060,87.589,88.56,0.63179 (100.63179),7 3,2021/09/27 16:08:47,낙찰하한선 미달
-47,1058641085,(주)에스엠전력,김동율,분석,58965705,87.588,88.559,0.63119 (100.63119),14 5,2021/09/27 11:24:40,낙찰하한선 미달
-48,1208100598,(주)삼지엔지니어링,김동명,분석,58964192,87.586,88.557,0.62860 (100.6286),2 12,2021/09/27 16:53:03,낙찰하한선 미달
-49,2208719934,주식회사 지제이전기통신,김진수,분석,58961445,87.582,88.553,0.62389 (100.62389),1 15,2021/09/28 18:49:11,낙찰하한선 미달
-50,1048632400,주식회사 원이앤에스,지연관,분석,58956600,87.574,88.546,0.61560 (100.6156),13 10,2021/09/29 10:54:54,낙찰하한선 미달
-51,1018195473,건영정보통신(주),이병옥,분석,58951130,87.566,88.537,0.60624 (100.60624),3 11,2021/09/29 08:22:08,낙찰하한선 미달
-52,1058153698,진우산전(주),정진태,분석,58950228,87.565,88.536,0.60470 (100.6047),13 10,2021/09/28 17:10:10,낙찰하한선 미달
-53,1058628520,주식회사 파크로,최윤영,분석,58948418,87.562,88.533,0.60160 (100.6016),8 14,2021/09/23 16:05:44,낙찰하한선 미달
-54,1088179663,주식회사 시큐뱅크,심재춘,분석,58947483,87.561,88.532,0.60000 (100.6),5 13,2021/09/27 13:13:42,낙찰하한선 미달
-55,1180565240,성보전자통신,양행천,분석,58945000,87.557,88.528,0.59575 (100.59575),8 2,2021/09/30 06:41:28,낙찰하한선 미달
-56,2168100638,원흥전설(주),이제호,분석,58944600,87.556,88.528,0.59506 (100.59506),3 8,2021/09/29 11:00:43,낙찰하한선 미달
-57,2108108684,주식회사 대금이앤아이,김종우,분석,58943810,87.555,88.526,0.59371 (100.59371),4 9,2021/09/23 11:53:34,낙찰하한선 미달
-58,2148115227,대상전설(주),김상범,분석,58939479,87.548,88.52,0.58630 (100.5863),8 10,2021/09/29 18:44:15,낙찰하한선 미달
-59,1098611773,주식회사상현엔지니어링,이재권,분석,58938660,87.547,88.519,0.58489 (100.58489),15 9,2021/09/28 10:25:05,낙찰하한선 미달
-60,2048105154,우일정보기술 주식회사,이오,분석,58935798,87.543,88.514,0.58000 (100.58),3 11,2021/09/29 19:05:20,낙찰하한선 미달
-61,2128145574,콤시스(주),서경환,분석,58932010,87.537,88.509,0.57351 (100.57351),13 12,2021/09/29 09:04:26,낙찰하한선 미달
-62,2178114305,주식회사 케이엠씨앤아이,서정만,분석,58931400,87.536,88.508,0.57247 (100.57247),13 9,2021/09/26 13:13:00,낙찰하한선 미달
-63,3168123644,주식회사 지엔씨원,이미자,분석,58929898,87.534,88.505,0.56990 (100.5699),3 14,2021/09/26 23:54:18,낙찰하한선 미달
-64,2058125376,주식회사 명성라이픽스,황석고,분석,58929780,87.534,88.505,0.56970 (100.5697),4 8,2021/09/29 17:31:13,낙찰하한선 미달
-65,1088127729,주식회사 대원네시스,이연호,분석,58928000,87.531,88.503,0.56665 (100.56665),13 1,2021/09/24 10:26:23,낙찰하한선 미달
-66,1138146387,(주)대산시스템,전재수,분석,58925457,87.527,88.499,0.56230 (100.5623),5 9,2021/09/28 09:24:53,낙찰하한선 미달
-67,1198181214,엔텍월드주식회사,안병립,분석,58923960,87.525,88.497,0.55973 (100.55973),6 9,2021/09/30 09:40:59,낙찰하한선 미달
-68,2188109765,(주)웨이브컴,채인석,분석,58923704,87.524,88.496,0.55930 (100.5593),13 14,2021/09/28 15:06:39,낙찰하한선 미달
-69,1078731896,(주)비시텍코리아,임헌욱,분석,58923230,87.524,88.495,0.55848 (100.55848),8 4,2021/09/27 20:30:06,낙찰하한선 미달
-70,3388801483,주식회사 에버그린티앤씨,최재완,분석,58921070,87.52,88.492,0.55479 (100.55479),5 14,2021/09/28 09:53:05,낙찰하한선 미달
-71,3188601020,주식회사 프레이,조성준,분석,58920883,87.52,88.492,0.55447 (100.55447),8 9,2021/09/27 14:22:35,낙찰하한선 미달
-72,2068694508,주식회사 웰정보기술,강희춘,분석,58919645,87.518,88.49,0.55235 (100.55235),1 9,2021/09/30 09:00:23,낙찰하한선 미달
