bidNtceNo,bidNtceNm,opengDate,opengRank,bidprcCorpNm
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,344,주식회사티지오
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,231,성진이엔씨(주)
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,40,죽암건설 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,233,세빈테크(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1380,(주)중옥
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,235,동서토건 주식회사
20091220726,순천금당고등학교 조리실 개&#8228;보수 및 증축 공사,2010-01-04,42,주식회사 지아이
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,237,(주)뉴타운전력
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,690,(주)태양그룹
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,239,(주)대운이엔지
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,1,주식회사 제일목재산업
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,241,경광테크(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1382,서흥전력 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,243,수암전기(주)
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,3,국제건설 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,245,(주)윤익계전
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,172,세원시스텍(주)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,247,뉴라이팅주식회사
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,5,주식회사 다민건설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,249,세건전기 주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1384,(주)이화엔지니어링
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,251,(주)선광전설
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,7,주식회사 미주건설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,253,성운전기주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,692,(주)세진전력
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,255,(주)극동아이피엘씨
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,9,주식회사 중앙
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,257,오리엔트주식회사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1386,주식회사 중앙전력
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,259,(주)인코넷
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,11,(주)아인
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,261,주식회사 이십일세기엔지니어링
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,346,우주전기
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,263,(주)통광
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,13,(주)동양목재건설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,265,원택건설(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1388,(주)건우전기
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,267,대광건설전력(주)
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,15,대림건구산업 주식회사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,269,(주)대지전설
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,694,금구전력
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,271,한우이앤에스(주)
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,17,주식회사 제이케이이앤티
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,273,(주)서우시스템즈
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1390,(주)대경전기공사
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,275,태성전기공사
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,19,주식회사 엘앤에스건설 (L&S)
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,277,(주)강남기업사
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,86,주식회사 성서종합전기
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,279,주식회사 영광이씨에스
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,21,주식회사 리빌드
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,281,광명종합건설(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,1392,주식회사 월드전설
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,283,태경이엘피 주식회사
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,23,(주)고도에스디
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,285,서경전기(주)
20091220119,양평군 양평어린이집 리모델링공사(전기),2010-01-04,696,써미트전기
20091221034,상계중학교 교사증축 전기 및 소방공사,2010-01-04,287,대륙건설(주)
20091220952,내동중학교 교과교실제 지원 시설사업 건축공사,2010-01-04,25,주식회사 경우이엔지
