순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
160,4108709228,(주)실로아이앤씨,,분석,2761031448,88.869,89.004,-0.3276 (99.6724),10 8,2023/05/02 13:39:14,미심사
161,4888701893,주식회사 제이씨큐,,분석,2761085550,88.871,89.005,-0.3256 (99.6744),4 15,2023/05/02 13:28:21,미심사
162,1218162471,주식회사 우형정보통신,,분석,2761093587,88.872,89.006,-0.3253 (99.6747),12 13,2023/05/02 17:48:42,미심사
163,4538100144,주식회사 파란아이티,,분석,2761101680,88.872,89.006,-0.3250 (99.675),7 1,2023/05/03 09:27:57,미심사
164,2138702304,혜윰이엔씨 주식회사,,분석,2761107218,88.872,89.006,-0.3248 (99.6752),8 1,2023/05/03 09:51:09,미심사
165,4108600083,(주)세움미디어,,분석,2761112759,88.872,89.006,-0.3246 (99.6754),11 15,2023/04/28 09:10:12,미심사
166,4030622224,도가테크,,분석,2761137689,88.873,89.007,-0.3237 (99.6763),6 8,2023/05/02 09:13:44,미심사
167,1058645500,태지종합건설(주),,분석,2761151539,88.873,89.008,-0.3232 (99.6768),7 11,2023/05/02 18:53:38,미심사
168,1298163829,(주)시원코리아,,분석,2761201400,88.875,89.009,-0.3215 (99.6785),12 9,2023/05/02 15:57:02,미심사
169,2140875125,삼화전기정보통신공사,,분석,2761201580,88.875,89.009,-0.3214 (99.6786),3 10,2023/04/28 18:15:14,미심사
170,2148626132,(주)오버넷,,분석,2761262344,88.877,89.011,-0.3192 (99.6808),8 13,2023/05/02 17:57:44,미심사
171,1068660843,세중물산 주식회사,,분석,2761290045,88.878,89.012,-0.3182 (99.6818),13 14,2023/04/28 15:47:45,미심사
172,2058139910,우현전기(주),,분석,2761312206,88.879,89.013,-0.3174 (99.6826),7 13,2023/05/02 23:27:52,미심사
173,1068184554,(주)송화전기통신,,분석,2761318620,88.879,89.013,-0.3172 (99.6828),2 11,2023/05/02 14:24:16,미심사
174,1068610926,주식회사 인테크,,분석,2761334690,88.88,89.014,-0.3166 (99.6834),11 7,2023/05/02 09:21:19,미심사
175,2048129194,위성이앤씨(주),,분석,2761337130,88.88,89.014,-0.3166 (99.6834),14 6,2023/04/28 13:05:13,미심사
176,1198635243,(주)다룸정보기술,,분석,2761414699,88.883,89.016,-0.3137 (99.6863),8 1,2023/05/02 18:59:27,미심사
177,1068136902,대일전기산업(주),,분석,2761428449,88.883,89.017,-0.3133 (99.6867),13 6,2023/05/03 13:56:05,미심사
178,1068648117,주식회사 티원엘에스,,분석,2761434700,88.883,89.017,-0.3130 (99.687),4 2,2023/04/28 21:10:11,미심사
179,1248614779,주식회사 홍진전기,,분석,2761438500,88.883,89.017,-0.3129 (99.6871),13 3,2023/05/02 19:44:34,미심사
180,1188111020,주식회사 한영씨앤이,,분석,2761453470,88.884,89.017,-0.3124 (99.6876),11 12,2023/05/02 11:20:04,미심사
181,2248114190,설악이앤씨(주),,분석,2761454345,88.884,89.017,-0.3123 (99.6877),4 2,2023/05/02 20:26:36,미심사
182,1218169227,주식회사 미소건영,,분석,2761456200,88.884,89.017,-0.3123 (99.6877),2 13,2023/05/02 15:28:36,미심사
183,1198184278,주식회사엠디네트워크,,분석,2761465061,88.884,89.018,-0.3119 (99.6881),13 3,2023/05/01 17:39:12,미심사
184,1078161011,(주)장수커뮤니케이션즈,,분석,2761514420,88.886,89.019,-0.3102 (99.6898),14 15,2023/05/03 08:59:11,미심사
185,1288708320,주식회사 도경,,분석,2761516780,88.886,89.019,-0.3101 (99.6899),9 2,2023/04/28 14:10:29,미심사
186,1068194348,(주)퓨젼아이앤씨,,분석,2761539354,88.887,89.02,-0.3092 (99.6908),5 7,2023/04/28 16:18:35,미심사
187,7308800623,주식회사 대산시스템,,분석,2761553300,88.887,89.021,-0.3087 (99.6913),9 1,2023/05/03 12:55:45,미심사
188,1388182607,주식회사 블랙홀,,분석,2761591986,88.889,89.022,-0.3073 (99.6927),7 14,2023/04/28 11:52:54,미심사
189,1308113106,신양통신주식회사,,분석,2761673123,88.891,89.024,-0.3044 (99.6956),7 1,2023/05/02 09:21:20,미심사
190,1058813512,주식회사 아미넷,,분석,2761707948,88.893,89.026,-0.3032 (99.6968),6 14,2023/04/28 09:50:27,미심사
191,1218191414,주식회사 유리네트웍스,,분석,2761719410,88.893,89.026,-0.3028 (99.6972),4 3,2023/04/28 13:42:07,미심사
192,1108155382,(주)굿채널시스템,,분석,2761733790,88.894,89.026,-0.3022 (99.6978),6 1,2023/04/28 15:34:26,미심사
193,2098134940,주식회사윤송이엔씨,,분석,2761821900,88.897,89.029,-0.2991 (99.7009),3 13,2023/05/02 14:41:23,미심사
194,5148163366,양산정보통신(주),,분석,2761836420,88.897,89.03,-0.2985 (99.7015),8 3,2023/04/28 15:29:07,미심사
195,1128152663,한국아이디정보(주),,분석,2761935820,88.9,89.033,-0.2949 (99.7051),7 6,2023/05/02 10:28:09,미심사
196,2068184285,주식회사 진명파워택,,분석,2762003520,88.903,89.035,-0.2925 (99.7075),5 2,2023/05/03 09:24:18,미심사
197,5158108411,동일통신 주식회사,,분석,2762016000,88.903,89.035,-0.2920 (99.708),15 14,2023/05/02 10:24:29,미심사
198,4038177110,주식회사 더원티이씨,,분석,2762026000,88.904,89.036,-0.2917 (99.7083),9 15,2023/05/02 14:27:50,미심사
